"Name ","Exp ","Operators","Data Type","What?"
"ASN","asn.dns","==, !=","mixed case string","GeoIP ASN string calculated from the IP from DNS result"
"ASN","asn.dns.mailserver","==, !=","mixed case string","GeoIP ASN string calculated from the IPs for mailservers"
"ASN","asn.dns.nameserver","==, !=","mixed case string","GeoIP ASN string calculated from the IPs for nameservers"
"Dst ASN","asn.dst","==, !=","mixed case string","GeoIP ASN string calculated from the destination IP"
"ASN","asn.email","==, !=","mixed case string","GeoIP ASN string calculated from the Email IP address"
"ASN","asn.socks","==, !=","mixed case string","GeoIP ASN string calculated from the SOCKS destination IP"
"Src ASN","asn.src","==, !=","mixed case string","GeoIP ASN string calculated from the source IP"
"XFF ASN","asn.xff","==, !=","mixed case string","GeoIP ASN string calculated from the X-Forwarded-For Header"
"Asset","asset","==, !=","lower case string","Asset name"
"Asset Cnt","asset.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Asset name"
"Type","bgp.type","==, !=","upper case string","BGP Type field"
"Bytes","bytes","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent AND received in a session"
"Dst Bytes","bytes.dst","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent by destination in a session"
"Src Bytes","bytes.src","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent by source in a session"
"Alt Name","cert.alt","==, !=","lower case string","Certificate alternative names"
"Alt Name Cnt","cert.alt.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Certificate alternative names"
"Cert Cnt","cert.cnt","<, <=, ==, >=, >, !=","integer","Count of certificates"
"Curve","cert.curve","==, !=","mixed case string","Curve Algorithm"
"Hash","cert.hash","==, !=","lower case string","SHA1 hash of entire certificate"
"Issuer CN","cert.issuer.cn","==, !=","lower case string","Issuer's common name"
"Issuer ON","cert.issuer.on","==, !=","mixed case string","Issuer's organization name"
"Not After","cert.notafter","","","Certificate is not valid after this date"
"Not Before","cert.notbefore","","","Certificate is not valid before this date"
"Public Algorithm","cert.publicAlgorithm","==, !=","mixed case string","Public Key Algorithm"
"Days remaining","cert.remainingDays","<, <=, ==, >=, >, !=","integer","Certificate is still valid for this many days"
"Serial Number","cert.serial","==, !=","lower case string","Serial Number"
"Subject CN","cert.subject.cn","==, !=","lower case string","Subject's common name"
"Subject ON","cert.subject.on","==, !=","mixed case string","Subject's organization name"
"Days Valid For","cert.validfor","<, <=, ==, >=, >, !=","integer","Certificate is valid for this many days total"
"Community Id","communityId","==, !=","mixed case string","Community id flow hash"
"GEO","country.dns","==, !=","upper case string","GeoIP country string calculated from the IP from DNS result"
"GEO","country.dns.mailserver","==, !=","upper case string","GeoIP country string calculated from the IPs for mailservers"
"GEO","country.dns.nameserver","==, !=","upper case string","GeoIP country string calculated from the IPs for nameservers"
"Dst Country","country.dst","==, !=","upper case string","Destination Country"
"GEO","country.email","==, !=","upper case string","GeoIP country string calculated from the Email IP address"
"GEO","country.socks","==, !=","upper case string","GeoIP country string calculated from the SOCKS destination IP"
"Src Country","country.src","==, !=","upper case string","Source Country"
"XFF GEO","country.xff","==, !=","upper case string","GeoIP country string calculated from the X-Forwarded-For Header"
"Data bytes","databytes","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent AND received in a session"
"Dst data bytes","databytes.dst","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent by destination in a session"
"Src data bytes","databytes.src","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent by source in a session"
"Host","dhcp.host","==, !=","lower case string","DHCP Host"
"Host Cnt","dhcp.host.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Host"
"Hostname Tokens","dhcp.host.tokens","","","DHCP Hostname Tokens"
"Transaction id","dhcp.id","==, !=","lower case string","DHCP Transaction Id"
"Transaction id Cnt","dhcp.id.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Transaction Id"
"Client MAC","dhcp.mac","==, !=","lower case string","Client ethernet MAC"
"Client MAC Cnt","dhcp.mac.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Client ethernet MAC"
"Client OUI","dhcp.oui","==, !=","mixed case string","Client ethernet OUI"
"Client OUI Cnt","dhcp.oui.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Client ethernet OUI"
"Type","dhcp.type","==, !=","upper case string","DHCP Type"
"Type Cnt","dhcp.type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Type"
"Op Code","dns.opcode","==, !=","upper case string","DNS lookup op code"
"Op Code Cnt","dns.opcode.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup op code"
"Puny","dns.puny","==, !=","lower case string","DNS lookup punycode"
"Puny Cnt","dns.puny.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup punycode"
"Query Class","dns.query.class","==, !=","upper case string","DNS lookup query class"
"Query Class Cnt","dns.query.class.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup query class"
"Query Type","dns.query.type","==, !=","upper case string","DNS lookup query type"
"Query Type Cnt","dns.query.type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup query type"
"Status Code","dns.status","==, !=","upper case string","DNS lookup return code"
"Status Code Cnt","dns.status.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup return code"
"email.authorization","email.authorization","==, !=","mixed case string","Email header authorization"
"Body Magic","email.bodymagic","==, !=","mixed case string","The content type of body determined by libfile/magic"
"Body Magic Cnt","email.bodymagic.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The content type of body determined by libfile/magic"
"Content-Type","email.content-type","==, !=","mixed case string","Email content-type header"
"Content-Type Cnt","email.content-type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email content-type header"
"Receiver","email.dst","==, !=","lower case string","Email to address"
"Receiver Cnt","email.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email to address"
"Attach Content-Type","email.file-content-type","==, !=","mixed case string","Email attachment content types"
"Attach Content-Type Cnt","email.file-content-type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment content types"
"Filenames","email.fn","==, !=","mixed case string","Email attachment filenames"
"Filenames Cnt","email.fn.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment filenames"
"Header","email.has-header","==, !=","lower case string","Email has the header set"
"Header Cnt","email.has-header.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email has the header set"
"Header Value","email.has-header.value","==, !=","mixed case string","Email has the header value"
"Header Value Cnt","email.has-header.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email has the header value"
"Attach MD5s","email.md5","==, !=","mixed case string","Email attachment MD5s"
"Attach MD5s Cnt","email.md5.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment MD5s"
"Id","email.message-id","==, !=","mixed case string","Email Message-Id header"
"Id Cnt","email.message-id.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email Message-Id header"
"Mime-Version","email.mime-version","==, !=","mixed case string","Email Mime-Header header"
"Mime-Version Cnt","email.mime-version.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email Mime-Header header"
"SMTP Hello","email.smtp-hello","==, !=","lower case string","SMTP HELO/EHLO"
"SMTP Hello Cnt","email.smtp-hello.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMTP HELO/EHLO"
"Sender","email.src","==, !=","lower case string","Email from address"
"Sender Cnt","email.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email from address"
"Subject","email.subject","==, !=","mixed case string","Email subject header"
"Subject Cnt","email.subject.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email subject header"
"X-Mailer Header","email.x-mailer","==, !=","mixed case string","Email X-Mailer header"
"X-Mailer Header Cnt","email.x-mailer.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email X-Mailer header"
"email.x-priority","email.x-priority","<, <=, ==, >=, >, !=","integer","Email header x-priority"
"Filename","file","","","Arkime offline pcap filename"
"GRE IP","gre.ip","==, !=","ip","GRE ip addresses for session"
"GRE IP ASN","gre.ip.asn","==, !=","mixed case string","GeoIP ASN string calculated from the GRE ip addresses for session"
"GRE IP Cnt","gre.ip.cnt","<, <=, ==, >=, >, !=","integer","Unique number of GRE ip addresses for session"
"GRE IP GEO","gre.ip.country","==, !=","upper case string","GeoIP country string calculated from the GRE ip addresses for session"
"GRE IP RIR","gre.ip.rir","==, !=","upper case string","Regional Internet Registry string calculated from GRE ip addresses for session"
"Host","host.dns","==, !=","lower case string","DNS lookup hostname"
"Host Cnt","host.dns.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup hostname"
"MX Host","host.dns.mailserver","==, !=","lower case string","Hostnames for Mail Exchange Server"
"MX Host Cnt","host.dns.mailserver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Hostnames for Mail Exchange Server"
"NS Host","host.dns.nameserver","==, !=","lower case string","Hostnames for Name Server"
"NS Host Cnt","host.dns.nameserver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Hostnames for Name Server"
"Hostname Tokens","host.dns.tokens","","","DNS lookup hostname tokens"
"Hostname","host.email","==, !=","lower case string","Email hostnames"
"Hostname Cnt","host.email.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email hostnames"
"Hostname Tokens","host.email.tokens","","","Email Hostname Tokens"
"Hostname","host.http","==, !=","lower case string","HTTP host header field"
"Hostname Cnt","host.http.cnt","<, <=, ==, >=, >, !=","integer","Unique number of HTTP host header field"
"Hostname Tokens","host.http.tokens","","","HTTP host Tokens header field"
"Hostname","host.quic","==, !=","lower case string","QUIC host header field"
"Hostname Cnt","host.quic.cnt","<, <=, ==, >=, >, !=","integer","Unique number of QUIC host header field"
"Hostname Tokens","host.quic.tokens","","","QUIC host tokens header field"
"Hostname Tokens","host.smb","","","SMB Host Tokens"
"Hostname Cnt","host.smb.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB Host name"
"Host","host.socks","==, !=","lower case string","SOCKS destination host"
"Hostname Tokens","host.socks.tokens","","","SOCKS Hostname Tokens"
"http.authorization","http.authorization","==, !=","mixed case string","Request header authorization"
"http.authorization Cnt","http.authorization.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Request header authorization"
"Auth Type","http.authtype","==, !=","lower case string","HTTP Auth Type"
"Auth Type Cnt","http.authtype.cnt","<, <=, ==, >=, >, !=","integer","Unique number of HTTP Auth Type"
"Body Magic","http.bodymagic","==, !=","mixed case string","The content type of body determined by libfile/magic"
"Body Magic Cnt","http.bodymagic.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The content type of body determined by libfile/magic"
"http.content-type","http.content-type","==, !=","mixed case string","Response header content-type"
"http.content-type Cnt","http.content-type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Request header content-type"
"Cookie Keys","http.cookie.key","==, !=","mixed case string","The keys to cookies sent up in requests"
"Cookie Keys Cnt","http.cookie.key.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The keys to cookies sent up in requests"
"Cookie Values","http.cookie.value","==, !=","mixed case string","The values to cookies sent up in requests"
"Cookie Values Cnt","http.cookie.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The values to cookies sent up in requests"
"Has Dst Header","http.hasheader.dst","==, !=","lower case string","Response has header present"
"Has Dst Header Cnt","http.hasheader.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Response has header present"
"Response Header Values","http.hasheader.dst.value","==, !=","lower case string","Contains response header values"
"Response Header Values Cnt","http.hasheader.dst.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Contains response header values"
"Has Src Header","http.hasheader.src","==, !=","lower case string","Request has header present"
"Has Src Header Cnt","http.hasheader.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Request has header present"
"Request Header Values","http.hasheader.src.value","==, !=","lower case string","Contains request header values"
"Request Header Values Cnt","http.hasheader.src.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Contains request header values"
"http.location","http.location","==, !=","mixed case string","Response header location"
"Body MD5","http.md5","==, !=","lower case string","MD5 of http body response"
"Body MD5 Cnt","http.md5.cnt","<, <=, ==, >=, >, !=","integer","Unique number of MD5 of http body response"
"Request Method","http.method","==, !=","mixed case string","HTTP Request Method"
"Request Method Cnt","http.method.cnt","<, <=, ==, >=, >, !=","integer","Unique number of HTTP Request Method"
"http.origin","http.origin","==, !=","mixed case string","Request header origin"
"http.referer","http.referer","==, !=","mixed case string","Request header referer"
"http.referer Cnt","http.referer.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Request header referer"
"Request Body","http.reqbody","==, !=","mixed case string","HTTP Request Body"
"http.server","http.server","==, !=","mixed case string","Response header server"
"Status Code","http.statuscode","<, <=, ==, >=, >, !=","integer","Response HTTP numeric status code"
"Status Code Cnt","http.statuscode.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Response HTTP numeric status code"
"URI","http.uri","==, !=","mixed case string","URIs for request"
"URI Cnt","http.uri.cnt","<, <=, ==, >=, >, !=","integer","Unique number of URIs for request"
"QS Keys","http.uri.key","==, !=","mixed case string","Keys from query string of URI"
"QS Keys Cnt","http.uri.key.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Keys from query string of URI"
"URI Path","http.uri.path","==, !=","mixed case string","Path portion of URI"
"URI Path Cnt","http.uri.path.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Path portion of URI"
"URI Tokens","http.uri.tokens","","","URIs Tokens for request"
"QS Values","http.uri.value","==, !=","mixed case string","Values from query string of URI"
"QS Values Cnt","http.uri.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Values from query string of URI"
"User","http.user","==, !=","mixed case string","HTTP Auth User"
"Useragent","http.user-agent","==, !=","mixed case string","User-Agent Header"
"Useragent Cnt","http.user-agent.cnt","<, <=, ==, >=, >, !=","integer","Unique number of User-Agent Header"
"Useragent Tokens","http.user-agent.tokens","","","User-Agent Header Tokens"
"User Cnt","http.user.cnt","<, <=, ==, >=, >, !=","integer","Unique number of HTTP Auth User"
"Dst Version","http.version.dst","==, !=","mixed case string","Response HTTP version number"
"Dst Version Cnt","http.version.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Response HTTP version number"
"Src Version","http.version.src","==, !=","mixed case string","Request HTTP version number"
"Src Version Cnt","http.version.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Request HTTP version number"
"Hunt ID","huntId","==, !=","mixed case string","The ID of the packet search job that matched this session"
"Hunt Name","huntName","==, !=","mixed case string","The name of the packet search job that matched this session"
"ICMP Code","icmp.code","<, <=, ==, >=, >, !=","integer","ICMP code field values"
"ICMP Type","icmp.type","<, <=, ==, >=, >, !=","integer","ICMP type field values"
"Initial RTT","initRTT","<, <=, ==, >=, >, !=","integer","Initial round trip time, difference between SYN and ACK timestamp divided by 2 in ms"
"IP","ip.dns","==, !=","ip","IP from DNS result"
"IP Cnt","ip.dns.cnt","<, <=, ==, >=, >, !=","integer","Unique number of IP from DNS result"
"IP","ip.dns.mailserver","==, !=","ip","IPs for mailservers"
"IP Cnt","ip.dns.mailserver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of IPs for mailservers"
"IP","ip.dns.nameserver","==, !=","ip","IPs for nameservers"
"IP Cnt","ip.dns.nameserver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of IPs for nameservers"
"Dst IP","ip.dst","==, !=","ip","Destination IP"
"IP","ip.email","==, !=","ip","Email IP address"
"IP Cnt","ip.email.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email IP address"
"IP Protocol","ip.protocol","==, !=","lower case string","IP protocol number or friendly name"
"IP","ip.socks","==, !=","ip","SOCKS destination IP"
"Src IP","ip.src","==, !=","ip","Source IP"
"XFF IP","ip.xff","==, !=","ip","X-Forwarded-For Header"
"XFF IP Cnt","ip.xff.cnt","<, <=, ==, >=, >, !=","integer","Unique number of X-Forwarded-For Header"
"Channel","irc.channel","==, !=","mixed case string","Channels joined"
"Channel Cnt","irc.channel.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Channels joined"
"Nickname","irc.nick","==, !=","mixed case string","Nicknames set"
"Nickname Cnt","irc.nick.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Nicknames set"
"isis.msgType","isis.msgType","==, !=","lower case string","ISIS Msg Type field"
"cname","krb5.cname","==, !=","mixed case string","Kerberos 5 cname"
"cname Cnt","krb5.cname.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Kerberos 5 cname"
"Realm","krb5.realm","==, !=","mixed case string","Kerberos 5 Realm"
"Realm Cnt","krb5.realm.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Kerberos 5 Realm"
"sname","krb5.sname","==, !=","mixed case string","Kerberos 5 sname"
"sname Cnt","krb5.sname.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Kerberos 5 sname"
"Auth Type","ldap.authtype","==, !=","mixed case string","The auth type of ldap bind"
"Auth Type Cnt","ldap.authtype.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The auth type of ldap bind"
"Bind Name","ldap.bindname","==, !=","mixed case string","The bind name of ldap bind"
"Bind Name Cnt","ldap.bindname.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The bind name of ldap bind"
"Dst MAC","mac.dst","==, !=","lower case string","Destination ethernet mac addresses set for session"
"Dst MAC Cnt","mac.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Destination ethernet mac addresses set for session"
"Src MAC","mac.src","==, !=","lower case string","Source ethernet mac addresses set for session"
"Src MAC Cnt","mac.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Source ethernet mac addresses set for session"
"User","mysql.user","==, !=","lower case string","Mysql user name"
"Version","mysql.ver","==, !=","mixed case string","Mysql server version string"
"Arkime Node","node","==, !=","mixed case string","Arkime node name the session was recorded on"
"Host","oracle.host","==, !=","lower case string","Oracle Host"
"Hostname Tokens","oracle.host.tokens","","","Oracle Hostname Tokens"
"Service","oracle.service","==, !=","lower case string","Oracle Service"
"User","oracle.user","==, !=","lower case string","Oracle User"
"Dst OUI","oui.dst","==, !=","mixed case string","Destination ethernet oui set for session"
"Dst OUI Cnt","oui.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Destination ethernet oui set for session"
"Src OUI","oui.src","==, !=","mixed case string","Source ethernet oui set for session"
"Src OUI Cnt","oui.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Source ethernet oui set for session"
"Packets","packets","<, <=, ==, >=, >, !=","integer","Total number of packets sent AND received in a session"
"Dst Packets","packets.dst","<, <=, ==, >=, >, !=","integer","Total number of packets sent by destination in a session"
"Src Packets","packets.src","<, <=, ==, >=, >, !=","integer","Total number of packets sent by source in a session"
"Payload Dst Hex","payload8.dst.hex","==, !=","lower case string","First 8 bytes of destination payload in hex"
"Payload Src Hex","payload8.src.hex","==, !=","lower case string","First 8 bytes of source payload in hex"
"Dst Port","port.dst","<, <=, ==, >=, >, !=","integer","Source Port"
"Port","port.socks","<, <=, ==, >=, >, !=","integer","SOCKS destination port"
"Src Port","port.src","<, <=, ==, >=, >, !=","integer","Source Port"
"Application","postgresql.app","==, !=","mixed case string","Postgresql application"
"Database","postgresql.db","==, !=","mixed case string","Postgresql database"
"User","postgresql.user","==, !=","mixed case string","Postgresql user name"
"Protocols","protocols","==, !=","mixed case string","Protocols set for session"
"Protocols Cnt","protocols.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Protocols set for session"
"User-Agent","quic.user-agent","==, !=","mixed case string","User-Agent"
"User-Agent Cnt","quic.user-agent.cnt","<, <=, ==, >=, >, !=","integer","Unique number of User-Agent"
"Version","quic.version","==, !=","mixed case string","QUIC Version"
"Version Cnt","quic.version.cnt","<, <=, ==, >=, >, !=","integer","Unique number of QUIC Version"
"Endpoint IP","radius.endpoint-ip","==, !=","ip","Radius endpoint ip addresses for session"
"Endpoint IP ASN","radius.endpoint-ip.asn","==, !=","mixed case string","GeoIP ASN string calculated from the Radius endpoint ip addresses for session"
"Endpoint IP Cnt","radius.endpoint-ip.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Radius endpoint ip addresses for session"
"Endpoint IP GEO","radius.endpoint-ip.country","==, !=","upper case string","GeoIP country string calculated from the Radius endpoint ip addresses for session"
"Endpoint IP RIR","radius.endpoint-ip.rir","==, !=","upper case string","Regional Internet Registry string calculated from Radius endpoint ip addresses for session"
"Framed IP","radius.framed-ip","==, !=","ip","Radius framed ip addresses for session"
"Framed IP ASN","radius.framed-ip.asn","==, !=","mixed case string","GeoIP ASN string calculated from the Radius framed ip addresses for session"
"Framed IP Cnt","radius.framed-ip.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Radius framed ip addresses for session"
"Framed IP GEO","radius.framed-ip.country","==, !=","upper case string","GeoIP country string calculated from the Radius framed ip addresses for session"
"Framed IP RIR","radius.framed-ip.rir","==, !=","upper case string","Regional Internet Registry string calculated from Radius framed ip addresses for session"
"MAC","radius.mac","==, !=","lower case string","Radius Mac"
"MAC Cnt","radius.mac.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Radius Mac"
"User","radius.user","==, !=","mixed case string","RADIUS user"
"RIR","rir.dns","==, !=","upper case string","Regional Internet Registry string calculated from IP from DNS result"
"RIR","rir.dns.mailserver","==, !=","upper case string","Regional Internet Registry string calculated from IPs for mailservers"
"RIR","rir.dns.nameserver","==, !=","upper case string","Regional Internet Registry string calculated from IPs for nameservers"
"Dst RIR","rir.dst","==, !=","upper case string","Destination RIR"
"RIR","rir.email","==, !=","upper case string","Regional Internet Registry string calculated from Email IP address"
"RIR","rir.socks","==, !=","upper case string","Regional Internet Registry string calculated from SOCKS destination IP"
"Src RIR","rir.src","==, !=","upper case string","Source RIR"
"XFF RIR","rir.xff","==, !=","upper case string","Regional Internet Registry string calculated from X-Forwarded-For Header"
"Arkime Root ID","rootId","==, !=","mixed case string","Arkime ID of the first session in a multi session stream"
"Scrubbed By","scrubbed.by","==, !=","lower case string","SPI data was scrubbed by"
"Session Length","session.length","<, <=, ==, >=, >, !=","integer","Session Length in milliseconds so far"
"Session Segments","session.segments","<, <=, ==, >=, >, !=","integer","Number of segments in session so far"
"Domain","smb.domain","==, !=","mixed case string","SMB domain"
"Domain Cnt","smb.domain.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB domain"
"Filename","smb.fn","==, !=","mixed case string","SMB files opened, created, deleted"
"Filename Cnt","smb.fn.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB files opened, created, deleted"
"OS","smb.os","==, !=","mixed case string","SMB OS information"
"OS Cnt","smb.os.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB OS information"
"Share","smb.share","==, !=","mixed case string","SMB shares connected to"
"Share Cnt","smb.share.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB shares connected to"
"User","smb.user","==, !=","mixed case string","SMB User"
"User Cnt","smb.user.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB User"
"Version","smb.ver","==, !=","mixed case string","SMB Version information"
"Version Cnt","smb.ver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMB Version information"
"User","socks.user","==, !=","mixed case string","SOCKS authenticated user"
"HASSH","ssh.hassh","==, !=","lower case string","SSH HASSH field"
"HASSH Cnt","ssh.hassh.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSH HASSH field"
"HASSH Server","ssh.hasshServer","==, !=","lower case string","SSH HASSH Server field"
"HASSH Server Cnt","ssh.hasshServer.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSH HASSH Server field"
"Key","ssh.key","==, !=","mixed case string","SSH Key"
"Key Cnt","ssh.key.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSH Key"
"Version","ssh.ver","==, !=","lower case string","SSH Software Version"
"Version Cnt","ssh.ver.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSH Software Version"
"Start Time","starttime","<, <=, ==, >=, >, !=","date time","Session Start Time"
"Stop Time","stoptime","<, <=, ==, >=, >, !=","date time","Session Stop Time"
"Tags","tags","==, !=","mixed case string","Tags set for session"
"Tags Cnt","tags.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Tags set for session"
"TCP Flag ACK","tcpflags.ack","<, <=, ==, >=, >, !=","integer","Count of packets with only the ACK flag set"
"TCP Flag FIN","tcpflags.fin","<, <=, ==, >=, >, !=","integer","Count of packets with FIN flag set"
"TCP Flag PSH","tcpflags.psh","<, <=, ==, >=, >, !=","integer","Count of packets with PSH flag set"
"TCP Flag RST","tcpflags.rst","<, <=, ==, >=, >, !=","integer","Count of packets with RST flag set"
"TCP Flag SYN","tcpflags.syn","<, <=, ==, >=, >, !=","integer","Count of packets with SYN and no ACK flag set"
"TCP Flag SYN-ACK","tcpflags.syn-ack","<, <=, ==, >=, >, !=","integer","Count of packets with SYN and ACK flag set"
"TCP Flag URG","tcpflags.urg","<, <=, ==, >=, >, !=","integer","Count of packets with URG flag set"
"Cipher","tls.cipher","==, !=","upper case string","SSL/TLS cipher field"
"Cipher Cnt","tls.cipher.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSL/TLS cipher field"
"JA3","tls.ja3","==, !=","lower case string","SSL/TLS JA3 field"
"JA3 Cnt","tls.ja3.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSL/TLS JA3 field"
"JA3S","tls.ja3s","==, !=","lower case string","SSL/TLS JA3S field"
"JA3S Cnt","tls.ja3s.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSL/TLS JA3S field"
"Dst Session Id","tls.sessionid.dst","==, !=","lower case string","SSL/TLS Dst Session Id"
"Src Session Id","tls.sessionid.src","==, !=","lower case string","SSL/TLS Src Session Id"
"Version","tls.version","==, !=","mixed case string","SSL/TLS version field"
"Version Cnt","tls.version.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SSL/TLS version field"
"User","user","==, !=","lower case string","External user set for session"
"User Cnt","user.cnt","<, <=, ==, >=, >, !=","integer","Unique number of External user set for session"
"VLan","vlan","<, <=, ==, >=, >, !=","integer","vlan value"
"VLan Cnt","vlan.cnt","<, <=, ==, >=, >, !=","integer","Unique number of vlan value"
